int	string	string
1562	Boss Jones	A man hellbent on destroying everything good in the world and undermining the British government.
1563	Dennis York	An American soldier who wants to do good and rid the world of fascist tyrants.
1564	Francoise Jacquet	A French farmer's daughter who despises the Nazi invaders and will risk her life to do what is right.
1565	Chris Marin	A local resistance leader who will never stop fighting for his country, no matter the cost.
1566	Agent Thor	Confident and sexy, this man is the perfect package and was born to be a spy.
1567	Carla Boar	She is deceptive at first, but when shown true loyalty, she will do anything to keep her allies alive.
1568	Mr. Darling	A goofy-looking schemer who has a chest of gold hidden and must get it out in time. But a pesky spy is getting in the way.
1569	Agent Hawk	An extremely talented secret agent who can assume many identities, avoid laser beams, and jump out of moving trucks.
1570	Smokey Hot	A lady agent with great knowledge of the enemy.
1571	Wimbo Stewart	A rich businessman who has switched over to support the agents of good.
1572	Manushka Battur	A femme fatale who likes to wear red dresses and wear hidden guns.
1573	Vince Floss	A supervillain intent on dominating the entire world. If only nobody would get in his way...
1574	Agent 90	An experienced agent specialized in keeping aliens a state secret. His specialty is handing high priority alien invasions.
1575	Agent 161	The young up and coming street kid who learns about aliens the hard way. He hates the job but is good at it.
1576	Rhonda Silk	An innocent doctor who must treat Agent 161 for wounds suffered in his fight against the aliens.
1577	James Kond	James Kond must pretend to be the coach of a sport he hates but a beautiful woman and fighting for his country will keep him powering through.
1578	Viola Vanush	Viola is one of the town board members as well as the mother of one of the teenagers he teaches.
1579	Esmeralda Vortex	Esmeralda is his star football player and has taken to him as a father figure. He must protect her when the time comes.
1580	Lady J	Lady J is his boss back in the government - she's tough and has no problem telling James exactly what he should be doing.
1581	Rasmus Vilkong	Rasmus is a rival football coach but also an international arms dealer. They become friends but both know at some point a showdown will occur.
1582	Robert Kaps	A renowned scholar who specializes in ancient religions, secret societies and symbolism. His is the expert choice for ancient crime mysteries.
1583	Francoise Roger	A young detective eager to prove herself. She is smart but is too quick to believe her superiors.
1584	Frank Costella	A devoted monk who believes his passion for christ makes any crime he commits acceptable.
1585	Lord Rutford	A crippled scholar obsessed with unlocking an ancient secret. He does not care who dies while he tries to discover this truth.
1586	Agent Burn	A secret agent who seems to have forgotten who he is. He must fight his way to remember where he comes from.
1587	Franzie Hess	A German scholar who actually is a spy, but few know of it.
1588	Jerome Matrac	A seasoned leader whose knowledge knows no bounds. He will never betray his nation.
1589	Ludwig Wilhelm	A cruel man who wants to spread death wherever he goes, and won't allow anybody to stop him.
1590	Bob Sticks	An innocent man who finds himself on the run from intelligence agencies. He panics but is driven enough to run his way out of this situation.
1591	Rodney Wonk	An older hacker who has now turned his skills against the government he supported for so long.
1592	Steve Punk	A duck hunter who finds himself a target when one of his cameras captures the brutal murder of an important man.
1593	Zane McCanus	Zane is a world-class spy who seems to be able to do nothing wrong. But he doesn't foresee the problems of neglecting his girlfriend back home.
1594	Elaine Kirute	Elaine is a highly capable woman who is set on making Zane's life hell after almost ignoring her for the past 6 months.
1595	Stubbs Rollins	Stubbs is a girl that gets stuck in tough situation abroad, Zane must get her back to safety and keep her away from her kidnappers.
1596	William Fault	William is part of an international gang of kidnappers, Stubbs' family controls a lot of money and he wants some of it.
1597	Rick Tross	Rick is just an ordinary flower salesman who is mistaken for a criminal lawyer. He must go on the run until he can prove his innocence.
1598	Ramira Gomez	Ramira a spy sent to take Rick down, but instead she finds out the truth and falls in love. She must help him find out the truth.
1599	Agent Kilroy	Ramira's partner who has been led astray by her to help protect Rick.
1600	Sam Wilko	Sam was the original target of the scheme that Rick gets accidentally involved in. He hopes that Rick can also get his name cleared.
1601	Aaron Hepp	A recently separated man who is bored with his life and wants some excitement. He ran away from his problems and ended in Prague to party and relax.
1602	Sarah Sole	An absolutely stunning lady who is involved with the mob and the police. She never wanted to be a part of it but somethings aren't a real choice.
1603	Bill Paulson	A great cop who wants to keep the order, but things get complicated when Sarah reveals her mob ties.
1604	Stev Berks	The biggest criminal in town. A vile man with a penchant for brutality and accidentally thinks that Aaron is a man he is not.
1605	Maggie Greer	A secret weapon trained in the art of war, she can kill with ease but never does so unless provoked.
1606	Bruce Greer	A brutal fighter with extreme prowess and cruelty. She will do whatever it takes to take down the enemy.
1607	Boris Belts	A Croatian agent who is angry at the world and wants to watch it burn.
1608	Rufus Keign	A spy who wants to save innocent lives. He is even willing to betray his country to help protect the innocent.
